[2018.12.11-00.23.37:978][576]Obj List: 
[2018.12.11-00.23.37:978][576]Objects:
[2018.12.11-00.23.37:978][576]
[2018.12.11-00.25.31:950][576]                                                                                                Class    Count      NumKB      MaxKB   ResExcKB  ResExcDedSysKB  ResExcShrSysKB  ResExcDedVidKB  ResExcShrVidKB     ResExcUnkKB
[2018.12.11-00.25.31:950][576]                                                                                         SkeletalMesh        7   77408.83   80648.64   77935.56            0.00            0.00            0.00            0.00        77935.56
[2018.12.11-00.25.31:950][576]                                                                                  SplineMeshComponent    25056   53500.91   61923.53   28436.21        28436.21            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                                            BodySetup    25824   32293.54   46119.25  289953.81       289953.81            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                                      SphereComponent     9359   17546.09   20552.80     599.91          599.91            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                                  StaticMeshComponent     7667   14472.92   18339.90   25221.99        25221.99            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                         CarPathSplineCollSphere_BP_C     8675    8453.27    9052.34       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                                           StaticMesh      402    7289.23    8459.61  497397.00           31.41            0.00            0.00            0.00       497365.59
[2018.12.11-00.25.31:950][576]                                                                                      StaticMeshActor     4418    3865.75    3865.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                                    SkeletalBodySetup       74    3289.95    3408.34     107.80          107.80            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:950][576]                                                                                     AirSimSplineComp      830    2884.90    3385.39     388.59          388.59            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                SkeletalMeshComponent       89    1168.01    1246.98     797.59           84.40            0.00            0.00            0.00          713.19
[2018.12.11-00.25.31:951][576]                                                                                                Class     1609    1010.47    1163.89       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                     BaseCarPath_BP_C      366    1093.84    1135.02       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                             Function     4282     886.14     998.28       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                         BoxComponent      375     704.41     855.11     250.65          250.65            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                             Material      320     791.13     816.66      95.00           95.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                              Package     2344     805.75     805.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                       StructProperty     5386     673.25     673.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                       ArrowComponent      304     527.25     665.00       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                               LandscapeSplineSegment      476     579.75     602.61       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                         BoolProperty     4420     552.50     552.50       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                       SceneComponent      650     475.95     536.22       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                      MaterialExpressionTextureSample      410     246.68     518.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                        FloatProperty     3850     451.17     451.17       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                   SpotLightComponent      387     394.05     394.05       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                       ObjectProperty     3108     388.50     388.50       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                      SplineComponent       58     333.58     384.39      26.72           26.72            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                  TextRenderComponent      134     239.36     299.17      36.78           36.78            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                            Texture2D     1004     274.53     274.53  801327.38            0.00            0.00            0.00            0.00       801327.38
[2018.12.11-00.25.31:951][576]                                                                                         ScriptStruct     1121     212.48     262.69       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                              MaterialInstanceDynamic      419     248.67     262.09     168.58          168.58            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                           MaterialExpressionTextureSampleParameter2D      199     127.15     259.38       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                                Level        5     138.96     246.16       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                             MaterialInstanceConstant      341     242.79     243.57     169.98          169.98            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                          IntProperty     2058     241.17     241.17       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                                 Enum      599     114.74     234.09       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                   SidewalkSectionA_C      231     223.78     225.59       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                               MaterialExpressionMaterialFunctionCall      239     206.79     222.08       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                            ControlPointMeshComponent       82     160.74     203.63     144.46          144.46            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                    MaterialExpressionScalarParameter      633     128.41     203.15       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                         AnimSequence        5     184.98     185.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                         CityEnviron_TrafficLight01_C      175     183.20     183.20       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                               AnimSingleNodeInstance      101     176.22     180.66       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:951][576]                                                                                     CapsuleComponent       89     159.88     168.38      69.43           69.43            0.00            0.00            0.00            0.00
